RegisterId,Title,Detail,Owner,OwnerKey,WS,Status,Priority,Due,MeetingId,RelatedTo,Tags,SourceSystem,SourceChannel,SourceAuthor,SourceTs,SourcePermalink,SourceQuote,Confidence,VerificationStatus,VerifiedBy,VerifiedAt,VerificationNote
a1,Send the approved Finance & Billing deck to attendees ahead of the call,"Deck reviewed and approved. Requested to go out before the call, by end of day if possible.",Alex Rivera,AR,,open,High,Today,fincyc,,,slack,,,,#,,high,pending,,,
a2,Chase the partner team on outstanding contract signatures,"No-show at the 8/3 steering call. Overdue from 8/4, in progress.",Alex Rivera,AR,,open,High,Today,,,,,,,,,,,pending,,,
a3,Finalize the Compliance V1 deck — add standards slides plus a decisions-needed slide,"Overdue from 8/4, in progress.",Alex Rivera,AR,,open,High,Today,compws,,,slack,,,,,,high,pending,,,
a4,Present the system build timeline at the 8/17 leadership deliverable review,"Sequence: individual meetings, deep dive, timeframes and dependencies, partner overlay, align, present.",Alex Rivera,AR,,open,High,Later,,,,slack,,,,,,high,pending,,,
a5,Send the consolidated project plan to the partner team for validation and discrepancy review,From the 8/4 morning standup.,Alex Rivera,AR,,open,Med,Later,,,,,,,,,,,pending,,,
a6,Confirm who owns taking the integration to the Change Advisory Board,Raised as a deliverable gap on the delivery leadership call.,Alex Rivera,AR,,open,Med,Later,itmgr,,,,,,,,,,pending,,,
a7,Add a support and ticketing section to the leadership status — who receives tickets after go-live,"Leadership status deliverable, still unowned.",Alex Rivera,AR,,open,Med,Later,itmgr,,,,,,,,,,pending,,,
a8,Merge the consolidated project plan with the partner implementation team plan,Loop the partner implementation team into the relevant workstream meetings going forward.,Alex Rivera,AR,,open,Med,Later,,,,slack,,,,,,high,pending,,,
a9,Confirm the steering committee roster on the delivery side,Is a technical executive sponsor needed beyond the current list?,Alex Rivera,AR,,open,Low,Later,,,,,,,,,,,pending,,,
a10,"Build the steering deck timeline slide, date-anchored to an end-of-November phase 1 go-live","Completed 2026-08-07. Go-live anchor confirmed as end of November 2026, superseding the prior early-November back-plan. v4 posted as a lean four-slide pack.",Alex Rivera,AR,,done,High,Later,steer,,,,,,,,,,pending,,,
a11,Book a session with the onboarding team to start standard enrollment immediately,"The delegated path is off. With only 34 partner staff, standard individual onboarding starts now, so there is no agreement to wait on.",Jordan Chen,JC,,open,High,Today,compws,,,,,,,,,,pending,,,
a12,Send the partner team the exact onboarding document list and get a review meeting booked,From the 8/7 steering transcript.,Jordan Chen,JC,,open,High,Tomorrow,,,,slack,,,,,,high,pending,,,
a13,Confirm delegated-approval agreement legal review status and return the signed agreement,Due end of week.,Jordan Chen,JC,,open,Med,Later,,,,,,,,,,,pending,,,
a14,Roll the week of action-item updates into the steering Next Steps slide,Folded into the per-workstream next-steps slide.,Jordan Chen,JC,,open,Med,Mon,steer,,,,,,,,,,pending,,,
a15,Schedule a training-environment walkthrough of the flagged workflows for the clinical reviewers,Screen-out versus refer-out logic needs a live demo.,Jordan Chen,JC,,open,Low,Later,,,,,,,,,,,pending,,,
a16,Second-pass review of the consolidated project plan draft,Completed 2026-08-06 with feedback from all three workstream leads folded in.,Jordan Chen,JC,,done,Med,Later,,,,,,,,,,,pending,,,
a17,Resubmit the failed test message using a known-good provider record and notify the workflow tester,Workaround while partner identity records are unresolved.,Sam Prentice,SP,,open,High,Today,,,,slack,,,,,,high,pending,,,
a18,Confirm partner records exist in the target system with correct identifiers,"Records team to create them if missing. Production intent, which removes the test workaround.",Sam Prentice,SP,,open,High,Today,,,,,,,,,,,pending,,,
a19,Walk through the partner workflow to test message triggers,Blocked on the partner delivering the open-item steps.,Sam Prentice,SP,,open,Med,Later,,,,,,,,,,,pending,,,
a20,Share the combined interface script tracker with the partner team,Due 8/12 ahead of the work queue review.,Sam Prentice,SP,,open,Med,Today,wqreview0812,,,,,,,,,,pending,,,
a21,Locate and document the record-matching weight configuration; confirm the weighting is adequate,From the 8/6 interface review.,Sam Prentice,SP,,open,Med,Later,,,,,,,,,,,pending,,,
a22,Determine viable test-run count per script given the partner email and phone reuse limit,Overdue from 8/5.,Sam Prentice,SP,,open,Med,Today,,,,,,,,,,,pending,,,
a23,Confirm that partner-sourced documents render as expected in the customer portal,From the 8/6 interface review.,Sam Prentice,SP,,open,Med,Later,,,,,,,,,,,pending,,,
a24,Clarify the release-of-information process for partner-sourced documents,Confirm scope with the vendor. May need a separate statement of work.,Sam Prentice,SP,,open,Low,Later,,,,,,,,,,,pending,,,
a25,Lock the second weekly slot for Workflow Design & Build,Target is twice weekly per the 7/23 decision. Waiting on availability from two leads.,Morgan Keller,MK,,open,High,Tomorrow,,,,,,,,,,,pending,,,
a26,Schedule the cutover and go-live review after the 8/11 testing sessions,"Cutover to be treated as a named deliverable, not an event.",Morgan Keller,MK,,open,Med,Wed,,,,,,,,,,,pending,,,
a27,Stand up a 15-minute weekly all-group status call,Deferring one to two weeks until there is enough to report. Target roughly 8/24.,Morgan Keller,MK,,open,Med,Later,,,,,,,,,,,pending,,,
a28,Update meeting dates on steering deck slide 3,Completed 2026-08-07. Slide 3 stays as an overview; dates moved to the timeline slide.,Morgan Keller,MK,,done,Med,Later,steer,,,,,,,,,,pending,,,
a29,Confirm whether the 8/12 session is the last testing round before change control,From the 8/5 standup.,Morgan Keller,MK,,open,Low,Later,,,,,,,,,,,pending,,,
a30,Fill the open operations program manager seat,Two new partner-side PM seats are open: operations PM and technical PM.,Unassigned,Unassigned,,open,Med,Later,,,,,,,,,,,pending,,,
a31,Send over the onboarding documentation already on hand for the 34 partner staff,Speeds the partner packet build. Due end of week.,Unassigned,Unassigned,,open,Med,Later,,,,,,,,,,,pending,,,
